Question,Integral Response,Control Observations/Comments,Attachment(s),Additional Control Observations,Assessor Observations,Observation Type,Question Requirement,Additional Comments,Attachment(s),Updated observation,Updated Assessor Comments,,,,,,,,,,,,,,
"LAM011: Does your company have a Password Management Policy or Standard for access to all platforms, applications and databases? 

If yes, please attach.
Artifact Required: Password Management Policy/Procedure

Design Elements:
1. Password management configuration settings (centralized or other)
2. Password history requirements  - minimum of 12 previous passwords
3. Maximum password age - minimum of 3 days
4. Minimum password length - at least 8 characters (PINs must be at least 4 characters)
5. Password complexity  - must use at least 3 of the four available character types: lowercase letters, uppercase letters, number, and symbols
6. User lock out on failed attempts  - a maximum of 5 failed attempts
7. Temporary passwords valid for a defined period",Yes,,New Security Text 0121.pdf [Stage 5](file),"Integral Development Corporation does have a password management policy or standard for access to all platforms, applications and databases in place.



However, the following design elements are not in place: 
3. Maximum password age - minimum of 3 days
6. User lock out on failed attempts  - a maximum of 5 failed attempts
7. Temporary passwords valid for a defined period

The following design elements are in place:
1. Password management configuration settings (centralized or other)
    New Security Text 0121.pdf [Stage 5] - Page 10, Section: Security Access

2. Password history requirements  - minimum of 12 previous passwords
    New Security Text 0121.pdf [Stage 5] - Page 10, Section: Security Access

4. Minimum password length - at least 8 characters (PINs must be at least 4 characters)
    New Security Text 0121.pdf [Stage 5] - Page 10, Section: Security Access

5. Password complexity  - must use at least 3 of the four available character types: lowercase letters, uppercase letters, number, and symbols
    New Security Text 0121.pdf [Stage 5] - Page 10, Section: Security Access


Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and inspection of evidence.

Evidence referenced:
New Security Text 0121.pdf [Stage 5] 
",Observation Noted,Design Gap,In Scope,Integral has enhanced its Security handbook and Access management policy to augment its password address age and attempt limitations.,Doc link: https://docs.google.com/document/d/1exFXcaeEJ-R2DVpxQXk9qwDLx1eWqql6_FLaN9ztjZw/edit#,No Observation Noted,,,,,,,,,,,,,,,
"LAM012: Does your company use a standard process for distributing initial passwords/PINs including forcing users to change their password upon first logon? 

If yes, please describe the process.
",Yes,Rules are set as per the security policy.,,"Integral Development Corporation does use a standard process for distributing initial passwords/PINs including forcing users to change their password upon first logon in place.

Passwords are delivered via secure email or via phone call. Users must change the password upon first logon. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM013: Does your company have a process to verify a user's identity before communicating initial and temporary passwords/PINs and when initiating a password reset? 

If yes, please describe.
",Yes,Authentication is verified before password reset.,,"Integral Development Corporation does have a process to verify a user's identity before communicating initial and temporary passwords/PINS and when initiating a password reset.

Authentication is verified by the help desk, via employee ID #, before password reset.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM014: Does your company have centralized authentication mechanisms (e.g., SSO, active directory, network management tool) in place? 

If yes, please describe the systems in scope.
",Yes,,,"Integral Development Corporation does have centralized authentication mechanisms (e.g., SSO, active directory, network management tool) in place.

Integral has active directory in place.

This is an informational only question.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM015: Does your company have a control to require users to authenticate prior to changing their password?
",Yes,,,"Integral Development Corporation does have a control to require users to authenticate prior to changing its password in place.



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM016: Does your company use IP address restrictions for applications that can be accessed through the Internet?
",Yes,,,"Integral Development Corporation does use IP address restrictions for applications that can be accessed through the Internet.





Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM017: Does your company require multifactor authentication  for applications that can be accessed through the Internet?

If yes, please describe how MFA is implemented and the combination that is used (something you have, something you know, something you are).
Required Validation: Observe a user authenticating into an application and confirm MFA is in place.",Yes,,,"Integral Development Corporation does require multifactor authentication for applications that can be accessed through the Internet.



The assessor observed Seeja Jiju access the FX application by single sign on and then validated that the user was prompted for a secondary code via a OTP.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM018: Does your company prohibit or prevent using the same service account identifiers and passwords in both production and non-production environments?
",Yes,Security policy defines the password rules.,,"Integral Development Corporation does prohibit or prevent using the same service account identifiers and passwords in both production and non-production environments.



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM019: Does your company have additional controls for privileged users that manage systems (e.g., servers, operating systems, applications, databases, networking, storage, virtualization and security solutions) including an additional level of approval required based on legitimate need for access?

If yes, please describe.


Design Elements:
1. Privileged access accounts separate from  user accounts
2. Activity restricted to specific functions that require administrator or highly privileged access usage
3. Time limitation restrictions 
4. Logging and monitoring of privileged access
5. Multi-factor authentication",Yes,Access control rules are implemented.,,"Integral Development Corporation does have additional controls for privileged users that manage systems (e.g., servers, operating systems, applications, databases, networking, storage, virtualization and security solutions) including an additional level of approval required based on legitimate need for access in place.

Access control rules are implemented for privileged users.

The following design elements are in place:
1. Privileged access accounts separate from  user accounts - All administrator/privileged accounts are separate from general user accounts.
2. Activity restricted to specific functions that require administrator or highly privileged access usage - Administrator access is restricted to only highly sensitive administrator activity.
4. Logging and monitoring of privileged access - Integral's SIEM solution captures both general user and administrator activity. 
5. Multi-factor authentication - Google Authentication MFA is utilized for administrator access. 

The following design elements are not applicable:
3. Time limitation restrictions  - All administrator users are approved by management. Time limitations are not necessary. 



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM020: Does your company have a trained administration function/team that is responsible for system administrative and privileged accounts?
",Yes,,,"Integral Development Corporation does have a trained administration function/team that is responsible for system administrative and privileged accounts in place.



This is an informational only question.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM021: Does your company restrict multiple physical location logins for system administrators?
",Yes,,,"Integral Development Corporation does restrict multiple physical location logins for system administrators.





Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM022: Are privileged user access rights reviewed at least quarterly?
Artifact Required: Evidence of privileged access review.",Yes,"Policy is reviewed audited.( Refer SOC report , sec 4.1)",Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5](file),"Integral Development Corporation does review privileged user access rights at least quarterly.

Privileged Access is reviewed on an annual basis. The assessor observed the 2021 User Production Access Review completed 07/29/2021. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and observation of evidence.

Evidence referenced:
2021 Integral Production Access Users Review - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM023: Does your company have an emergency change/break-glass procedure to grant temporary access to systems or the network for break-fix activities? 

If yes, please describe or attach.
Artifact Required: Evidence of Emergency Change/Break Glass Procedure

Design Elements:
1. Approval
2. Monitoring
3. Expiration
4. Use of tools that enforce account password change after each use",No,,06-01 Change Management Process.pdf [Stage 5](file),"Integral Development Corporation does have an emergency change/break glass procedure to grant temporary access to systems or the network for break-fix activities in place.

However, the following design elements are not in place: 
2. Monitoring
3. Expiration
4. Use of tools that enforce account password change after each use

The following design elements are in place:
1. Approval
    06-01 Change Management Process.pdf [Stage 5] - pg. 11, Emergency Change Model




Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

Evidence referenced:
06-01 Change Management Process.pdf [Stage 5] 
",Observation Noted,Design Gap,In Scope,Integral have a systematic process followed for  granting access to production systems. These access are monitored and review regularly. Process is audited annually for SOC certification.,,Design Gap,"Emergency Change/Break Glass Procedure is required to close. ""PES006- IRC002 - Integral Production Access Users Review-2021 .pdf [Stage 13]"" is not a procedure covering emergency access.

Break Glass Procedure should cover the following: 
1. Approval
2. Monitoring
3. Expiration
4. Use of tools that enforce account password change after each use",,,,,,,,,,,,,,
"LAM024: Does your company have remote access configuration  requirements in place?  

If yes, please describe.
Artifact Required: Remote Access Configuration screenshot

Design Elements:
1. Request and approval procedures for new connections
2. Request and approval procedures for employees/contractors to gain remote access
3. Procedures include allowable methods of remote access for employees/contractors
4. Procedures include specific multifactor authentication and encrypted tunnel related controls are defined for employees/contractors
5. Forced log out when time limit exceeded",Yes,New employees joining process covers this.,"New Security Text 0121.pdf [Stage 5](file)
Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5](file)","Integral Development Corporation does have a remote access configuration requirements in place.

However, the following design elements are not in place: 
5. Forced log out when time limit exceeded

The following design elements are in place:
1. Request and approval procedures for new connections
    Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] - CC3.14, 
    New Security Text 0121.pdf [Stage 5] - Page 9, Security Access 

2. Request and approval procedures for employees/contractors to gain remote access
    Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] - CC3.14

3. Procedures include allowable methods of remote access for employees/contractors
    Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] - CC3.14

4. Procedures include specific multifactor authentication and encrypted tunnel related controls are defined for employees/contractors - Validated through inquiry

Integral utilizes a VPN solution for remote access. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, observation of evidence and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

Evidence referenced:
Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] 
New Security Text 0121.pdf [Stage 5] 
",Observation Noted,Design Gap,In Scope,Remote access is configured and audited for SOC.,,Design Gap,Design Element 5 is not in place.,,,,,,,,,,,,,,
"LAM025: Does your company require multifactor authentication  for remote network access?

If yes, please describe how MFA is implemented and the combination that is used (something you have, something you know, something you are).
Required Validation: Observe a user authenticating to the network remotely and confirm MFA is in place.",Yes,,,"Integral Development Corporation does require multifactor authentication for remote network access.

Google Authenticator MFA is utilized for remote access. 

The assessor observed Seeja Jiju login to the VPN and validated that the user was prompted for a secondary code via the Google Authenticator app.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and observation of evidence.

Evidence referenced:
MFA Login - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM026: What provisioning method do the applications in your portfolio support?
",1. On-Demand/Dynamic,,,"Integral Development Corporation does support the following provision methods in its applications:
1. On-Demand/Dynamic





This is an informational only question.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
