Question,Integral Response,Control Observations/Comments,Attachment(s),Additional Control Observations,Assessor Observations,Observation Type,Question Requirement,Additional Comments,Attachment(s),Updated observation,Updated Assessor Comments,,,,,,,,,,,,,,,
"NM011: Does your company confirm that access to any virtualization management functions (e.g., administrative consoles, Application Programming Interfaces (APIs) or any other management components) is restricted to individuals based upon the principles of least privilege?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,,
"NM012: Does your organization enforce mandatory VPN disconnection (or other remote network access technology) at least every 24 hours, and require a user to reauthenticate to re-establish access for all remote network connections/sessions?
",Yes,,,"Integral Development Corporation does enforce mandatory VPN disconnection (or other remote network access technology) at least every 24 hours, and require a user to reauthenticate to re-establish access for all remote network connections/sessions.





Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM013: Does your company prohibit the remote access client from split tunneling, thus preventing the device from accessing two separate networks simultaneously?
",Yes,,,"Integral Development Corporation does prohibit the remote access client from split tunneling, thus preventing the device from accessing two separate networks simultaneously in place.



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM014: Does your company have controls implemented to ensure that remote equipment is in compliance with your organization's computing standards (e.g., up-to-date anti-virus, patches, group policy objects)?
Artifact Required:  Evidence that remote equipment is checked against computing standards (i.e., Unified Agent) 

",Yes,,Integral RFP - Enterprise Risk Management Program.pdf [Stage 5](file),"Integral Development Corporation does have controls implemented to ensure that remote equipment is in compliance with its organization's computing standards (e.g., up-to-date anti-virus, patches, group policy objects).

Integral utilizes an Integral internal VPN solution using protocol L2TP and IKE2 for site-to-site VPN. 

Validated through viewing the VPN console on an employee workstation that remote equipment is checked against computing standards.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and observation of evidence.

Evidence referenced:
VPN Console - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM015: If applicable, does your company use jump/bastion hosts for any access using accounts with full or privileged administrative access to cloud services and systems that are hosted in cloud service environments?

If yes, please describe tools/services used.
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,,
"NM016: Does your company authenticate and terminate within a DMZ architecture all inbound network and application traffic (including but not limited to B2B connections, web services or other communication protocols (e.g., HTTP, HTTPS, SFTP, FTP, Telnet))?
",Yes,Integral uses CloudFlare's security solution for network security including mitigating DDoS attacks.,,"Integral Development Corporation does authenticate and terminate within a DMZ architecture all inbound network and application traffic (including but not limited to B2B connections, web services or other communication protocols (e.g., HTTP, HTTPS, SFTP, FTP, Telnet)).



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM017: Does your company deploy a multi-tier network architecture as part of its defense in depth strategy (e.g., Segmented web/presentation layer sitting in a DMZ, Business Logic/application layer, or data/database layer all on separate hardware, distinctly separate ""Service"" and ""Corporate"" environments maintained, with clear physical and logical boundaries separating the two environments)?

If yes, please describe the network tiering architecture implemented.
",Yes,Integral uses different subnets for customer access and management systems,,"Integral Development Corporation does deploy a multi-tier network architecture as part of its defense in depth strategy (e.g., segmented web/presentation layer sitting in a DMZ, business logic/application layer, and data/database layer all on separate hardware, distinctly separate ""Service"" and ""Corporate"" environments maintained, with clear physical and/or logical boundaries separating the two environments).

Integral utilizes different subnets for customer access and management systems.

Integral has a multi-tier network in place that consists of a web facing/DMZ subnet, application subnet and database subnet. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM018: If applicable, does your company protect externally facing HTTP applications with a Web Application Firewall (WAF) and or Runtime Application Self-Protection (RASP)?
",Yes,Integral uses CloudFlare's security solution for network security including mitigating DDoS attacks.,,"Integral Development Corporation does protect externally facing HTTP applications with a Web Application Firewall (WAF) and or Runtime Application Self-Protection (RASP).



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM019: Does your company physically and logically separate development, test and production system(s) to reduce the risks of unauthorized access or changes to the production system(s)?

If yes, please describe how.
Artifact required: Architecture diagram to demonstrate separate environments for development, test and production",Yes,,Integral Engineering and QA Process V7.0.pdf [Stage 5](file),"Integral Development Corporation does physically and/or logically separate development, test and production system(s) to reduce the risks of unauthorized access or changes to the production system(s).

Integral logically segregates their production and non-production environments. 

Integral was unable to provide evidence to validate the control requirement.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",Observation Noted,Evidence Gap,In Scope,Screenshot attached (NM019 - screenshot),,Evidence Gap,Assessor was unable to open NM019 - Firewall access restriction between UAT:NY4.png. Observation remains.,,,,,,,,,,,,,,,
"NM020: Does your company enforce production environment security controls in non-production environments?
",No,Each environment has different access control policy.,,"Integral Development Corporation does not enforce production environment security controls in non-production environments.

There are different security controls in place for non-production and production environments. 



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",Observation Noted,Control Gap,In Scope,,,Control Gap,There are different security controls in place for non-production and production environments. Observation remains.,,,,,,,,,,,,,,,
"NM021: Does your company have a Wireless Policy?

If yes, please attach the wireless policy/procedure.
Artifact Required: Wireless Policy

Design Elements:
1. Access request and approval process
2. Encryption protocols
3.  Logging of access to network",Yes,,,"Integral Development Corporation does not have a wireless policy in place.



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",Observation Noted,Control Gap,In Scope,Had later shared security policy but not seeing in the portal. https://drive.google.com/file/d/1AQKKZxZ7tMGAuz71L13fR6LlqoRtAlNt/view?usp=sharing,,Design Gap,"Updated to Design Gap. Design Elements 1 and 3 are not captured in ""NM002 - Integral Security Policy.pdf [Stage 13]"".",,,,,,,,,,,,,,,
"NM022: Does your company utilize WPA2 or equivalent wireless security protocols?
Artifact Required: Wireless configuration screenshot",Yes,,Integral Security Policy 2.0.pdf [Stage 5](file),"Integral Development Corporation does utilize WPA2 or equivalent wireless security protocols.



Integral has WPA2 protocol for wireless security in place. The assessor observed the WiFi Policy Screenshot and ensured that WPA2 protocol is in place. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and observation of evidence.

Evidence referenced:
Wifi Policy  - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM023: Does your company segregate non-production wireless (e.g., guest) network segments from the production network using VLANs or other appropriate technologies?
",Yes,,Integral Security Policy 2.0.pdf [Stage 5](file),"Integral Development Corporation does segregate non-production wireless (e.g., guest) network segments from the production network using VLANs or other appropriate technologies.





Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
